,Unnamed: 0,date,dunknumber,file_timestamp,Bracket Type,approx. Flume T [°C],Flow speed [cm/s],Turbine Speed,Bath T [°C],Bath Sat [%],In Bath [UTC],Caps on [UTC],In Flume [UTC],caps off [UTC],FLUME_REF_TEMP,FLUME_REF_TEMP_STD,FLUME_REF_PSAL,FLUME_REF_PSAL_STD,FLUME_REF_FLOWSPEED,aa3827_tau_phase,aa3827_tau_o2sat,aa3827_tau_doxy,aa3312_tau_phase,aa3312_tau_o2sat,aa3312_tau_doxy,aa3412_tau_phase,aa3412_tau_o2sat,aa3412_tau_doxy,aa3413_tau_phase,aa3413_tau_o2sat,aa3413_tau_doxy,rbr210619_tau_phase,rbr210619_tau_o2sat,rbr210619_tau_doxy,rbr210624_tau_phase,rbr210624_tau_o2sat,rbr210624_tau_doxy,pyro1_o2_tau_phase,pyro1_o2_tau_o2sat,pyro1_o2_tau_doxy,pyro2_o2_tau_phase,pyro2_o2_tau_o2sat,pyro2_o2_tau_doxy
41,41,02/14/2023,42,1676339770431.0,O2 small,17.38,8.0,9.0,17.38,70.0,1:49,2:01,2:01,2:02,17.48092126984127,0.0006685627609141,30.627949206349207,0.0009877621035921,7.5,,,,,,,,,,,,,,,,,,,,,,,,
42,42,02/14/2023,43,1676340991805.0,O2 small,17.38,11.0,20.0,17.38,70.0,,2:24,2:25,,17.503729999999997,0.0007218175911687,30.628319047619048,0.0012144705741639,10.82,,,,,,,,,,,,,,,,,,,,,,,,
43,43,02/14/2023,44,1676342812677.0,O2 small,17.38,11.0,20.0,17.38,70.0,2:37,,,2:53,17.513708095238094,0.0006966458350562,30.629633809523813,0.0009466648701716,10.82,,,,,,,,,,,,,,,,,,,,,,,,
44,44,02/14/2023,45,1676344165517.0,O2 small,17.38,14.0,28.0,17.38,70.0,3:05,3:15,3:16,3:16,17.533534285714286,0.0010081567563389,30.62985904761905,0.0009755449666003,13.07,,,,,,,,,,,,,,,,,,,,,,,,
45,45,02/14/2023,46,1676345552495.0,O2 small,17.38,19.0,44.0,17.38,70.0,3:27,3:36,3:37,3:37,17.5421,0.0019944526241155,30.630474920634924,0.0010903645422385,17.21,,,,,,,,,,,,,,,,,,,,,,,,
46,46,02/14/2023,47,1676347024925.0,O2 small,17.38,19.0,44.0,17.38,70.0,,4:00,4:01,4:01,17.570714444444445,0.0020669041935528,30.63072571428572,0.0012675957924237,17.21,,,,,,,,,,,,,,,,,,,,,,,,
47,47,02/14/2023,48,1676348255962.0,O2 small,17.38,25.0,77.0,17.38,70.0,4:12,4:22,4:23,4:23,17.606281904761904,0.0060723905120316,30.62977349206349,0.0019639639691601,24.39,,,,,,,,,,,,,,,,,,,,,,,,
48,48,02/14/2023,49,1676389644853.0,pH package,17.31,19.0,44.0,17.31,7.6,15:30,,,15:53,17.599584603174605,0.0007981333886147,30.661687460317463,0.0013252798066392,17.21,,,,,,,,,,,,,,,,,,,,,,,,
49,49,02/14/2023,50,1676393203346.0,pH package,17.31,19.0,44.0,17.31,7.6,16:33,,,16:56,17.61596952380952,0.0009600387369356,30.66431031746032,0.0014205090393816,17.21,,,,,,,,,,,,,,,,,,,,,,,,
50,50,02/14/2023,51,1676395664849.0,pH package,17.31,11.0,20.0,17.31,7.6,17:16,,,17:29,17.63506015873016,0.000375076678144,30.66591,0.0011441549179155,10.82,,,,,,,,,,,,,,,,,,,,,,,,
51,51,02/14/2023,52,1676397823067.0,pH package,17.31,11.0,20.0,17.31,7.6,17:50,,,18:08,17.633410793650793,0.0007823109875424,30.667156507936504,0.0012114456256495,10.82,,,,,,,,,,,,,,,,,,,,,,,,
52,52,02/14/2023,53,1676400565280.0,pH package,17.31,6.0,5.0,17.31,7.6,18:30,18:50,,18:52,17.625522698412702,0.0012428624237152,30.669123968253967,0.0009932534958048,6.23,,,,,,,,,,,,,,,,,,,,,,,,
53,53,02/14/2023,54,1676402726428.0,pH package,17.31,6.0,5.0,17.31,7.6,19:13,,,19:28,17.612549682539683,0.001357913278029,30.670291587301588,0.0009719113983218,6.23,,,,,,,,,,,,,,,,,,,,,,,,
54,54,02/14/2023,55,1676404702809.0,pH package,17.31,8.0,9.0,17.31,7.6,19:50,,,20:02,17.626757301587304,0.0010025692492398,30.671202063492057,0.0012102389357821,7.5,,,,,,,,,,,,,,,,,,,,,,,,
55,55,02/14/2023,56,1676406069052.0,pH package,17.31,14.0,28.0,17.31,7.6,20:13,,,20:24,17.62291777777778,0.0006337353221605,30.67156317460317,0.0009618976373563,13.07,,,,,,,,,,,,,,,,,,,,,,,,
56,56,02/14/2023,57,1676407555890.0,pH package,17.31,25.0,77.0,17.31,7.6,20:35,20:50,,20:51,17.650927777777778,0.0049593592598316,30.66981603174604,0.0023045324834435,24.39,,,,,,,,,,,,,,,,,,,,,,,,
57,57,02/14/2023,58,1676410199596.0,pH package,17.31,6.0,5.0,17.31,8.6,,21:30,,21:32,17.66475888888889,0.0012463822073112,30.674369523809524,0.0008918456492755,6.23,,,,,,,,,,,,,,,,,,,,,,,,
58,58,02/14/2023,59,1676412153184.0,pH package,17.31,19.0,44.0,17.31,8.6,21:50,22:04,,22:05,17.662477777777777,0.0009011887113553,30.67404,0.0012799503958641,17.21,,,,,,,,,,,,,,,,,,,,,,,,
59,59,02/14/2023,60,1676415380256.0,pH package,17.31,19.0,44.0,17.31,8.6,22:45,,,23:00,17.673571428571424,0.0008344618209433,30.6763826984127,0.0013304023813669,17.21,,,,,,,,,,,,,,,,,,,,,,,,
60,60,02/15/2023,61,1676467650575.0,pH package,17.31,6.0,5.0,17.31,8.5,13:20,,,13:30,17.11943857142857,0.0007085114221903,30.708093650793653,0.0011688106851571,6.23,,,,,,,,,,,,,,,,,,,,,,,,
61,61,02/15/2023,62,1676469748360.0,pH package,17.31,11.0,20.0,17.31,8.5,13:50,14:06,14:07,,17.146113174603176,0.0004881462355598,30.70861396825397,0.0013254152265617,10.82,,,,,,,,,,,,,,,,,,,,,,,,
62,62,02/15/2023,63,1676472452139.0,pH package,17.31,11.0,20.0,17.31,8.5,14:28,,,14:54,17.153305714285715,0.0006717655351688,30.708937619047617,0.0012237195631192,10.82,,,,,,,,,,,,,,,,,,,,,,,,
63,63,02/15/2023,64,1676476614555.0,pH package,17.31,8.0,9.0,17.31,8.5,15:15,,,15:59,17.22020777777778,0.0004827696037451,30.71191857142857,0.0009360103736076,7.5,,,,,,,,,,,,,,,,,,,,,,,,
64,64,02/15/2023,65,1676478147480.0,pH package,17.31,14.0,28.0,17.31,8.5,16:11,,,16:24,17.24613968253968,0.000831185743675,30.7119,0.001393089520705,13.07,,,,,,,,,,,,,,,,,,,,,,,,
65,65,02/15/2023,66,1676479731267.0,pH package,17.31,25.0,77.0,17.31,8.5,16:36,,,,17.284976507936513,0.0060297558872196,30.71028396825397,0.0026134293226312,24.39,,,,,,,,,,,,,,,,,,,,,,,,
66,66,02/15/2023,67,1676485797376.0,O2 Large,6.7,6.0,5.0,6.7,70.0,18:29,,,18:36,6.54410746031746,0.0205282884547968,30.723882222222223,0.0038618403559371,6.23,,,,81.20152439802634,82.89874032597551,80.21950169477938,62.23122614147848,63.96964855117645,62.20035077842319,68.90849123713379,70.55038229157799,68.62950801341789,29.7639487128088,30.7356376482026,30.06391193181152,35.35108960586209,36.50322064983142,35.581387801160105,3.42540529711502,3.42540529711502,3.42540529711502,4.42711675592912,4.42711675592912,4.42711675592912
67,67,02/15/2023,68,1676488555085.0,O2 Large,6.7,6.0,5.0,6.7,70.0,18:51,,,19:16,6.84541253968254,0.0195354285783672,30.70159587301588,0.0040710104182064,6.23,93.69784591767332,102.0437638121144,100.8921966445056,74.79442688585232,80.7602812383399,79.80838628074322,59.11692033805325,63.06571934071847,62.30992258775769,65.8957384057493,70.47117398981416,69.62799462868013,30.2512655975855,32.22698488359165,31.867978122585395,34.159473999839754,36.31206129441951,35.93375618123678,2.678975582253707,2.678975582253707,2.678975582253707,2.6368299283984125,2.6368299283984125,2.6368299283984125
68,68,02/15/2023,69,1676489806764.0,O2 Large,6.7,8.0,9.0,6.7,70.0,19:32,19:48,,19:52,7.073958412698413,0.0185199296517527,30.65909634920635,0.0043051356565052,7.5,86.18561590568255,93.47578631350896,92.62001104032636,66.25732015912301,71.37543423332093,70.65004332600735,52.77090160378442,56.451776260225735,55.89311719556459,59.063077756478414,63.22396817826936,62.584552250960506,26.863226059508435,28.846807493945334,28.38025659143393,29.768470500062687,31.72050667701724,31.405905029390382,3.0781438501352167,3.0781438501352167,3.0781438501352167,3.576970357775774,3.576970357775774,3.576970357775774
69,69,02/15/2023,70,1676491782601.0,O2 Large,6.7,11.0,20.0,6.7,70.0,20:03,,,20:14,7.219540158730157,0.0186388046309317,30.61342587301588,0.0070327790652558,10.82,,,,56.663035610701634,61.05032594745267,60.616965891638486,46.54128131960726,49.94982462625112,49.58450284145819,48.35868437502384,51.71613911148938,51.32329654153735,23.640938741450345,25.23173260595464,25.01092522244258,24.122644175987787,25.709001021898683,25.493458200689663,3.1006176773568934,3.1006176773568934,3.1006176773568934,3.0174755632833463,3.0174755632833463,3.0174755632833463
70,70,02/15/2023,71,1676492924213.0,O2 Large,6.7,11.0,20.0,6.7,70.0,20:25,,,20:35,7.350243650793652,0.018279342560647,30.56250349206349,0.0078262006348495,10.82,71.23439173502462,77.46908045722166,77.00294889964769,54.9795741754981,59.286655735945935,58.873039059290825,44.466260303558805,47.896265639721776,47.60957330462544,44.73041948309803,48.47681602114049,48.23461868665923,21.819802310683027,23.446722677107847,23.258498821747036,23.157971997411043,24.86787187424094,24.67467123106505,1.377669847677233,1.377669847677233,1.377669847677233,1.200212745779515,1.200212745779515,1.200212745779515
71,71,02/16/2023,72,1676512916191.0,O2 Large,6.7,25.0,77.0,6.7,70.0,,,,,9.183455396825396,0.0213335965999675,30.787894603174603,0.0161752192228118,24.39,47.04782623059668,50.81317140507702,50.38482833232986,39.18933538862084,41.93637838798343,41.56450500154234,27.489862240101893,29.51069428388717,29.263070384209666,31.282200543408774,33.45367157877319,33.190826722799095,14.042009480536288,14.983912226136628,14.838557144809652,15.75925255763146,16.754580515092485,16.591152601542106,1.9075583978652564,1.9075583978652564,1.9075583978652564,1.9373037423102684,1.9373037423102684,1.9373037423102684
